OBJECTID_12,Spring w Flow,OID_,DEQ_NUMBER,SINGLE_MULTIPLE_TREND,LATNAD83DD,LONGNAD83D,DATE_MEASURED,TIME_MEASURED,DISCHARGE_METHOD,METER_TYPE,DATA_SOURCE,DISCHARGE_GPM,DISCHARGE_CFS,MGD,Temp_Water_C,Temp_Air_C,SPECIFIC_CONDUCTIVITY_uS_cm_C,CONDUCTIVITY_uS_cm,TDS_g_L,Salinity_ppt,DO_Conc_mg_L,pH,Acid_Neutralizing_Capacity_mg_L_Field_Titration,Bicarbonate_mg_L_Field_Titration,Carbonate_mg_L_Field_Titration,Chloride_Filtered_mg_L,FIELD_COMMENTS,OBJECTID_1,OBJECTID,DEQ_NUMBER_sites,SPRING_NAME,USGS_SITE_ID,VWUDS_MPID,OTHER_ID,SITE_COMMENTS,DATE_INVENTORIED_INITIAL,NUMBER_OF_OPENINGS,ALTITUDE_FT_AMSL,NED_10M_PROJECTED_ELEVATION_FT_AMSL,LATITUDE_NAD83_DMS,LONGITUDE_NAD83_DMS,LATNAD83DD_sites,LONGNAD83DD_sites,Site_Photo_Field_Notes,COUNTY,TOPO_SETTING,NATIONAL_WATER_USE,IMPROVEMENTS,SPHERE_OF_DISCHARGE,OWNER,DATA_COLLECTOR,HDATUM,LATLONGSOURCE,QUAD_NAME,GENERAL_LITHOLOGY,USGS_500K_GEOL_LABEL,USGS_500K_GEOLOGY,USGS_500K_GEOL_UNIT_LINK,USGS_500K_GEOL_AGE,USGS_500K_GEOL_ROCKTYPE1,USGS_500K_GEOL_ROCKTYPE2,USGS_500K_GEOL_FORMATION_NAME,USGS_500K_GEOL_FORMATION_PERIOD,MAJOR_BASIN_NAME,BASIN_NAME,BASIN_CODE,USGS_HUC_CODE,HUC_NAME,HUC_DRAIN,VDOF_LAND_USE,PROVINCE,PROVINCE_SECTION
5,1,1136,101-00852,SINGLE,38.21457579,-78.7430783,8/7/1985,,ESTIMATED,,SWCB,4,0.01,0.01,10,-9999,13,-9999,-9999,-9999,-9999,5.75,-9999,-9999,-9999,-9999,,1193,8,101-00852,BLACKROCK SPRING,,,DGIF: 4,USED BY HIKERS ALONG APPALACHIAN TRAIL.  LOCATION COULD NOT BE VERIFIED USING VGIN IMAGERY.,0,0,0,2642,381252.4728,784435.0819,38.21457579,-78.7430783,YES,ALBEMARLE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,BROWNS COVE,SILICICLASTIC,[ch,[ch,VACAch;0,Cambrian,quartzite,conglomerate,Chilhowee Group,Cambrian,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,MOORMANS RIVER,H,Hardwood Forest,BLUE RIDGE,NORTHERN
1406,,616,134-00034,TREND,39.06285333,-78.26078278,4/11/1991,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.2,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1407,,603,134-00034,TREND,39.06285333,-78.26078278,10/16/1984,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.25,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1408,,608,134-00034,TREND,39.06285333,-78.26078278,4/22/1986,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,489,-9999,-9999,-9999,-9999,7.3,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1409,,619,134-00034,TREND,39.06285333,-78.26078278,9/23/1992,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.35,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1410,,614,134-00034,TREND,39.06285333,-78.26078278,6/8/1988,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,489,-9999,-9999,-9999,-9999,7.37,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1411,,613,134-00034,TREND,39.06285333,-78.26078278,11/16/1987,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,495,-9999,-9999,-9999,-9999,7.38,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1412,,612,134-00034,TREND,39.06285333,-78.26078278,11/6/1986,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,475,-9999,-9999,-9999,-9999,7.4,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1413,,618,134-00034,TREND,39.06285333,-78.26078278,4/29/1992,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1414,,601,134-00034,TREND,39.06285333,-78.26078278,8/30/1984,,NOT MEASURED,,SWCB,-9999,-9999,,12.78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1415,,604,134-00034,TREND,39.06285333,-78.26078278,10/16/1984,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1416,,620,134-00034,TREND,39.06285333,-78.26078278,5/5/1993,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1417,,611,134-00034,TREND,39.06285333,-78.26078278,9/4/1986,,,,USGS,-9999,-9999,,12.4,-9999,480,-9999,-9999,-9999,7.9,7.8,-9999,-9999,-9999,6,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1418,,610,134-00034,TREND,39.06285333,-78.26078278,5/16/1986,,,,USGS,-9999,-9999,,12,25,595,-9999,-9999,-9999,8.5,6.8,280,-9999,-9999,7,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1419,,609,134-00034,TREND,39.06285333,-78.26078278,5/15/1986,,,,USGS,-9999,-9999,,13,20,530,-9999,-9999,-9999,7.6,7.1,270,-9999,-9999,8,,275,555,134-00034,VAUCLUSE SPRING (ON MEADOW BROOK),01635070_VAUCLUSE SPRING NEAR MID,,"DGIF:493, GNIS:28","0.9 MILE W OF INTERSECTION WITH RT 11/638, 1000' SOUTH OF RT 638.  GPS LOCATION UPDATED WITH VGIN IMAGERY.",0,0,720,727,390346.272,781538.818,39.06285333,-78.26078278,No,FREDERICK,UPLAND DRAW,NOT USED,POND,,"JOHN W. CHUMLEY, ,",SWCB,NAD83,VGIN,MIDDLETOWN,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,LOWER CEDAR CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1421,,623,134-00131,MULTIPLE,39.27213333,-78.08685278,4/22/1982,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,635,-9999,-9999,-9999,-9999,8.3,-9999,-9999,-9999,-9999,,276,556,134-00131,BRANSON SPRING,391620078051301_46YS  1 BRANSON SPRING,,DGIF: 515,,20040812,0,610,605,391619.68,780512.67,39.27213333,-78.08685278,YES,FREDERICK,UNDULATING,DOMESTIC,POND,SUBAQUEOUS,"COOK, DAVID, ,",USGS,WGS84,PPGPS,INWOOD,CARBONATE,Ob,Ob,VAOb;0,Ordovician,dolostone (dolomite),limestone,Beekmantown Group,Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070004,LOWER OPEQUON CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
1422,,625,134-00132,SINGLE,39.25535444,-78.11185583,4/22/1982,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,650,-9999,-9999,-9999,-9999,6.7,-9999,-9999,-9999,-9999,,277,557,134-00132,WASHINGTON SPRING,,,"DGIF: 513, GNIS: 29",ORIGINAL MAP BASED LOCATION UPDATED BY VGIN IMAGERY,0,0,650,652,391519.276,780642.681,39.25535444,-78.11185583,No,FREDERICK,HILLSIDE,DOMESTIC,POND,,"WASHINGTON SPRING, ,",DEQ,NAD83,VGIN,INWOOD,CARBONATE,Ob,Ob,VAOb;0,Ordovician,dolostone (dolomite),limestone,Beekmantown Group,Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070004,LOWER OPEQUON CREEK,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
1423,,626,134-00134,SINGLE,39.28230111,-78.11709778,4/22/1982,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,667,-9999,-9999,-9999,-9999,6.4,-9999,-9999,-9999,-9999,,415,559,134-00134,WILLIAM T RUTTER-SPRING,,,DGIF: 516,ORIGINAL MAP BASED LOCATION UPDATED BY VGIN IMAGERY,0,0,720,698,391656.284,780701.552,39.28230111,-78.11709778,No,FREDERICK,HILLSIDE,DOMESTIC,POND,SUBAQUEOUS,"WILLIAM T RUTTER-SPRING, ,",DEQ,NAD83,VGIN,INWOOD,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070004,LOWER OPEQUON CREEK,B,Mixed Forest,VALLEY AND RIDGE,MIDDLE
1425,,627,134-00147,MULTIPLE,39.26552394,-78.0813858,4/22/1982,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,1460,-9999,-9999,-9999,-9999,11.3,-9999,-9999,-9999,-9999,,416,560,134-00147,WHETZEL SPRING,,,DGIF: 514,DRY ON 5/5/10 SITE VISIT. 50 FEET NORTH OF FCSA - WHETSEL SPRING PRODUCTION WELL,0,0,590,582,391555.8862,780452.9889,39.26552394,-78.0813858,YES,FREDERICK,VALLEY FLAT,DOMESTIC,CONCRETE BASIN,,"WHETZEL SPRING, ,",SWCB,WGS84,PPGPS,INWOOD,CARBONATE,Oeln,Oeln,VAOeln;0,Ordovician,limestone,black shale,"Edinburg Formation, Lincholnshire and New Market Limestones",Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070004,LOWER OPEQUON CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1426,,629,134-00191,SINGLE,39.21998944,-78.2124825,10/28/1981,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,621,-9999,-9999,-9999,-9999,7.4,-9999,-9999,-9999,-9999,,420,564,134-00191,DEHAVEN SPRING (FRANK SMITH),,,,ORIGINAL MAP BASED LOCATION UPDATED BY VGIN IMAGERY,0,0,850,848,391311.962,781244.937,39.21998944,-78.2124825,No,FREDERICK,VALLEY FLAT,,SPRING HOUSE,,"DEHAVEN SPRING (FRANK SMITH), ,",DEQ,NAD83,VGIN,WINCHESTER,CARBONATE,Oun,Oun,VAOun;0,Ordovician,shale,mudstone,"Juniata, Oswego, Martinsburg (Reedsville and Dolly Ridge), Eggleston Formation",Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070004,LOWER BACK CREEK/BRUSH CREEK/BABBS RUN,B,Crop,VALLEY AND RIDGE,MIDDLE
1427,,641,134-00267,SINGLE,39.21038116,-78.38556156,5/24/1983,,,,USGS,-9999,-9999,,12.3,-9999,70,-9999,-9999,-9999,10,5.7,12,-9999,-9999,1,,426,570,134-00267,ROCK ENON SPRING,391237078230901_ROCK ENON SPRING,,"PWSID:  2069400, DGIF:509",Named on topo.  SDWIS LOCATION OF 39.207978 / -78.384306 COULD NOT BE VERIFIED WITH VGIN IMAGERY.,19901213,0,1010,1005,391237.3722,782308.0216,39.21038116,-78.38556156,No,FREDERICK,,,,,"CAMP ROCK ENON, ,",USGS,NAD27,MAP,CAPON SPRINGS,,Dmrn,Dmrn,VADmrn;0,Devonian,black shale,shale,Marcellus Shale and Needmore Formation,Devonian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070004,UPPER BACK CREEK/ISAACS CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1428,,643,134-00287,SINGLE,39.17971389,-78.19890556,8/24/2004,,,,USGS,-9999,-9999,,12.7,-9999,598,-9999,-9999,-9999,4.9,6.9,-9999,-9999,-9999,-9999,,427,571,134-00287,ROBINSON,391047078115601_45XS  1,,DGIF:519,,20040812,0,780,770,391046.97,781156.06,39.17971389,-78.19890556,No,FREDERICK,UNDULATING,,CONCRETE BASIN,SUBAQUEOUS,"SFEIR, RAMSEY, ,",USGS,WGS84,PPGPS,WINCHESTER,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070004,LOWER OPEQUON CREEK,B,Residential/Industrial,VALLEY AND RIDGE,MIDDLE
1508,,645,134-00389,SINGLE,39.28126597,-78.29714437,10/27/2008,,,,DEQ,-9999,-9999,,12.21,-9999,573,433,0.372,-9999,7.88,6.91,-9999,-9999,-9999,-9999,,439,583,134-00389,WALNUT SPRING,,,,RELATIVELY NEW CONSTRUCTION AND WELL INSTALLATION ABOVE SPRING IS REPORTED TO HAVE AFFECTED SPRING FLOW.,20080827,1,667,666,391652.5575,781749.7197,39.28126597,-78.29714437,YES,FREDERICK,HILLSIDE,NOT USED,CONCRETE BASIN,SUBAERIAL,"HENRY BUETTNER, ,",DEQ,WGS84,PPGPS,GORE,CARBONATE,DSu,DSu,VADSu;0,Silurian-Devonian,limestone,sandstone,"Ridgeley Sandstone, Helderber and Cayuga Groups",Lower Devonian - Upper Silurian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070004,UPPER BACK CREEK/ISAACS CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
1509,,646,135-00157,SINGLE,37.26234554,-80.68895546,11/10/1954,,,,USGS,-9999,-9999,,-9999,-9999,472,-9999,-9999,-9999,-9999,8,-9999,315,-9999,1,,459,651,135-00157,FRANCIS SPRING,03173500_FRANCIS SPRING NEAR BANE,,,,19901213,0,0,2126,371544.4439,804120.2397,37.26234554,-80.68895546,No,GILES,,,,,"unknown, ,",USGS,NAD27,MAP,PEARISBURG,,O[k,O[k,VAOCAk;0,Cambrian-Ordovician,dolostone (dolomite),limestone,Knox Group,Ordovician - Cambrian,New River Basin,New River Subbasin,9-,5050002,WALKER CREEK,N,Crop,VALLEY AND RIDGE,MIDDLE
1531,,648,139-00116,SINGLE,38.40957158,-78.48945408,8/7/1985,,NOT MEASURED,,SWCB,-9999,-9999,,12.22,-9999,32,-9999,-9999,-9999,-9999,6.5,-9999,-9999,-9999,-9999,,1259,693,139-00116,POCOSIN SPRING,,,DGIF: 579,200' SOUTH OF POCOSIN CABIN.    LOCATION COULD NOT BE VERIFIED WITH VGIN IMAGERY.,0,0,3100,3134,382434.4577,782922.0347,38.40957158,-78.48945408,YES,GREENE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,FLETCHER,IGNEOUS,[Zc,[Zc,VACAZc;0,Proterozoic Z-Cambrian,meta-basalt,,Catoctin Formation - metabasalt,Cambrian - late Proterozoic,Rappahannock River Basin,Rappahannock River Subbasin,3-,2080103,UPPER RAPIDAN RIVER/CONWAY RIVER,E,Hardwood Forest,BLUE RIDGE,NORTHERN
1532,,649,143-00406,SINGLE,37.4377333,-77.29899737,10/28/1998,,,,USGS,-9999,-9999,,16,17.2,66,-9999,-9999,-9999,3.92,4.41,-9999,-9999,-9999,8,,1353,699,143-00406,CAMP HOLLY SPRING,372615077175701_52HS  1,,,,19981113,1,95,109,372615.8399,771756.3905,37.4377333,-77.29899737,No,HENRICO,VALLEY FLAT,,SPRING HOUSE,SUBAQUEOUS,"DOWDY, R D, ,",USGS,WGS84,GPS,DUTCH GAP,,Tc,Tc,VATc;0,Tertiary,sand,silt,Chesapeake Group,Tertiary,James River Basin,Lower James River Subbasin,2C,2080206,JAMES RIVER/TURKEY ISLAND CREEK/FOURMILE CREEK,G,Hardwood Forest,COASTAL PLAIN,EMBAYED
1533,,650,144-00960,SINGLE,36.68791868,-79.96523618,2/24/1988,,NOT MEASURED,,SWCB,-9999,-9999,,-9999,-9999,56,-9999,-9999,-9999,-9999,6.4,-9999,-9999,-9999,-9999,,1139,702,144-00960,PAUL TUGGLE (SPRING),,,,COULD NOT VERIFY LOCATION WITH VGIN IMAGERY.,0,0,890,908,364116.5073,795754.8502,36.68791868,-79.96523618,No,HENRY,HILLSIDE,,,,"PAUL TUGGLE (SPRING), ,",SWCB,NAD27,MAP,MARTINSVILLE WEST,METAMORPHIC,[Zfm,[Zfm,VACAZfm;0,Proterozoic Z-Cambrian,mica schist,gneiss,Fork Mountain Formation,Cambrian - late Proterozoic,Roanoke River Basin,Roanoke River Subbasin,4A,3010103,SMITH RIVER/REED CREEK/BEAVER CREEK,L,Residential/Industrial,PIEDMONT,PIEDMONT UPLAND
